funcionario_id;nome_completo;genero;idade;cidade;uf;departamento_id;cargo;senioridade;modelo_trabalho;data_admissao;salario_atual;status;data_desligamento;tipo_desligamento;motivo_desligamento
1;Joao Andrade Lima;M;35;Curitiba;PR;10;Junior de Financeiro;Junior;Hibrido;2022-12-29;4801.78;Ativo;;;
2;Matheus Andrade Souza;M;31;Campinas;SP;12;Junior de Administrativo;Junior;Hibrido;2021-02-25;4084.29;Ativo;;;
3;Fernando Carvalho Santos;M;32;Sao Paulo;SP;12;Pleno de Administrativo;Pleno;Hibrido;2019-08-07;7348.96;Ativo;;;
4;Bruno Pereira Soares;M;22;Brasilia;DF;11;Pleno de Juridico;Pleno;Hibrido;2024-09-14;7913.49;Ativo;;;
5;Gustavo Alves Nascimento;M;37;Campinas;SP;3;Junior de Produto;Junior;Hibrido;2023-07-19;4585.39;Desligado;2024-12-26;Involuntario;Reducao de quadro
6;Beatriz Almeida Vieira;F;33;Porto Alegre;RS;4;Pleno de Comercial;Pleno;Presencial;2022-04-23;6405.54;Ativo;;;
7;Rafael Nascimento Carvalho;M;30;Recife;PE;2;Senior de Dados & Analytics;Senior;Remoto;2023-05-01;13684.32;Ativo;;;
8;Fernanda Alves Costa;F;29;Rio de Janeiro;RJ;12;Junior de Administrativo;Junior;Remoto;2019-08-01;4320.77;Desligado;2024-04-15;Voluntario;Nova oportunidade de mercado
9;Camila Ribeiro Ribeiro;F;38;Brasilia;DF;2;Pleno de Dados & Analytics;Pleno;Presencial;2018-01-18;8863.05;Ativo;;;
10;Ana Andrade Almeida;F;34;Florianopolis;SC;6;Coordenador de Customer Success;Coordenador;Hibrido;2021-06-09;17774.68;Ativo;;;
11;Marcelo Oliveira Fernandes;M;32;Porto Alegre;RS;4;Pleno de Comercial;Pleno;Hibrido;2020-07-22;8074.44;Desligado;2024-10-20;Voluntario;Continuidade dos estudos
12;Luciana Alves Nascimento;F;49;Rio de Janeiro;RJ;8;Estagiario de Operacoes;Estagiario;Hibrido;2022-06-18;2158.47;Ativo;;;
13;Felipe Gomes Oliveira;M;25;Curitiba;PR;11;Junior de Juridico;Junior;Remoto;2019-10-21;5464.34;Ativo;;;
14;Marcelo Lima Almeida;M;42;Campinas;SP;9;Especialista de Recursos Humanos;Especialista;Remoto;2018-08-01;17679.25;Ativo;;;
15;Larissa Ribeiro Ribeiro;F;33;Curitiba;PR;10;Pleno de Financeiro;Pleno;Remoto;2019-08-23;6784.94;Ativo;;;
16;Juliana Barbosa Rocha;F;37;Belo Horizonte;MG;6;Junior de Customer Success;Junior;Presencial;2020-09-19;3987.98;Ativo;;;
17;Rafael Almeida Martins;M;40;Porto Alegre;RS;7;Junior de Suporte Tecnico;Junior;Remoto;2024-08-03;5266.99;Ativo;;;
18;Thiago Santos Pereira;M;35;Sao Paulo;SP;6;Pleno de Customer Success;Pleno;Remoto;2024-06-06;7381.42;Desligado;2024-12-31;Voluntario;Motivos pessoais/familiares
19;Juliana Alves Vieira;F;22;Goiania;GO;4;Junior de Comercial;Junior;Hibrido;2022-03-25;4339.56;Desligado;2024-01-02;Voluntario;Mudanca de carreira
20;Vinicius Martins Rocha;M;26;Fortaleza;CE;6;Estagiario de Customer Success;Estagiario;Remoto;2019-12-25;2125.92;Ativo;;;
21;Guilherme Rodrigues Pereira;M;28;Goiania;GO;9;Senior de Recursos Humanos;Senior;Hibrido;2022-11-02;10569.09;Ativo;;;
22;Luciana Carvalho Vieira;F;39;Salvador;BA;9;Estagiario de Recursos Humanos;Estagiario;Remoto;2022-10-24;2473.85;Ativo;;;
23;Beatriz Rodrigues Soares;F;29;Fortaleza;CE;12;Pleno de Administrativo;Pleno;Hibrido;2020-06-17;7468.6;Ativo;;;
24;Pedro Souza Rodrigues;M;29;Campinas;SP;8;Pleno de Operacoes;Pleno;Remoto;2018-05-02;7626.36;Ativo;;;
25;Andre Barbosa Oliveira;M;29;Salvador;BA;9;Estagiario de Recursos Humanos;Estagiario;Presencial;2021-12-24;2210.04;Ativo;;;
26;Daniela Almeida Soares;F;35;Porto Alegre;RS;7;Especialista de Suporte Tecnico;Especialista;Hibrido;2018-09-12;14174.75;Desligado;2024-02-04;Voluntario;Continuidade dos estudos
27;Gabriel Dias Fernandes;M;30;Porto Alegre;RS;8;Coordenador de Operacoes;Coordenador;Hibrido;2024-09-09;12235.12;Ativo;;;
